Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
AS,Asia,ARM,Armenia,2021,Female,Age80_84,[80-84],1,0.02635046,2.8883369
AS,Asia,ARM,Armenia,2020,All,Age60_64,[60-64],6,0.18495684,3.04443351
AS,Asia,ARM,Armenia,2020,All,Age65_69,[65-69],2,0.05200208,1.52299726
AS,Asia,ARM,Armenia,2020,Male,Age85_over,[85+],3,0.11223345,26.89859231
AS,Asia,ARM,Armenia,2020,Female,Age75_79,[75-79],0,0,0
AS,Asia,ARM,Armenia,2020,Female,Age80_84,[80-84],0,0,0
AS,Asia,ARM,Armenia,2020,Female,Age85_over,[85+],1,0.0211685,4.70035253
AS,Asia,ARM,Armenia,2019,All,Age60_64,[60-64],3,0.12355848,1.60405505
AS,Asia,ARM,Armenia,2019,All,Age65_69,[65-69],1,0.03706449,0.75640104
AS,Asia,ARM,Armenia,2019,All,Age70_74,[70-74],5,0.20251114,6.51406386
